Time,PositionChangeX,PositionChangeY,PositionChangeZ,RotationChangeX,RotationChangeY,RotationChangeZ,RotationSpeedX,RotationSpeedY,RotationSpeedZ,RotationSpeedTotal
22.82273,0,0,0,0,0,0,0,0,0,0
22.84272,0.01163998,1.157242,-0.0472874,-6.431721,-2.59613,1.877368,321.6094,129.8159,93.87521,359.3011
22.85664,0.01124514,1.157526,-0.0478246,-6.330388,-2.628082,1.963127,7.280702,2.296053,6.16258,9.81111
22.86933,0.01119808,1.157607,-0.04792249,-6.277182,-2.627716,2.03916,4.191793,0.02885916,5.991761,7.312535
22.88677,0.01116368,1.15768,-0.04800621,-6.197883,-2.613068,2.014857,4.544938,0.8397114,1.392521,4.827079
22.92303,0.01103983,1.157825,-0.04797961,-6.117422,-2.59787,2.028361,2.219697,0.4191919,0.3724682,2.289434
22.93713,0.01093899,1.15791,-0.04798369,-6.063132,-2.577423,2.038111,3.850649,1.450216,0.6915584,4.172395
22.95124,0.010889,1.157969,-0.04800878,-6.001717,-2.58255,2.039667,4.349682,0.3631942,0.1102216,4.36621
22.96489,0.01082334,1.157991,-0.04801454,-5.969677,-2.583313,2.039652,2.348993,0.05592841,0,2.349659
22.9793,0.01075187,1.157959,-0.04805852,-6.002141,-2.627075,2.052563,2.252249,3.036125,0.8957093,3.884969
22.99297,0.01066964,1.157913,-0.04812519,-6.037295,-2.636444,2.055787,2.572401,0.6855548,0.2358862,2.672615
23.00663,0.01056313,1.157882,-0.04817306,-6.04868,-2.64151,2.034742,0.8333101,0.3707944,1.541254,1.79091
23.02055,0.0104695,1.157921,-0.04818769,-6.041959,-2.67334,2.030064,0.48239,2.286967,0.3354803,2.361243
23.0343,0.01036212,1.158072,-0.04818254,-5.989584,-2.707184,2.042012,3.806988,2.460344,0.8686044,4.615293
23.04831,0.01025223,1.158191,-0.04820358,-5.973705,-2.72113,2.04751,1.132589,0.9953716,0.3923904,1.558041
23.06225,0.01016187,1.158252,-0.04817558,-5.960981,-2.717743,2.006081,0.913097,0.2430546,2.973587,3.120103
23.07606,0.01008244,1.158348,-0.04812226,-5.946058,-2.697021,2.07512,1.080812,1.50076,5.000207,5.331276
23.09025,0.01004649,1.1584,-0.0480589,-5.926521,-2.691559,2.086871,1.376344,0.3849462,0.828041,1.651714
23.10498,0.00999493,1.158452,-0.04798686,-5.906021,-2.657745,2.118912,1.391665,2.29459,2.174314,3.453913
23.11942,0.009968337,1.158482,-0.04789047,-5.889235,-2.675201,2.148652,1.163098,1.209622,2.060848,2.657645
23.13391,0.009936385,1.158496,-0.0477929,-5.888528,-2.641113,2.16685,0.04844017,2.352508,1.255923,2.667205
23.14845,0.009947821,1.158537,-0.0476784,-5.918809,-2.616943,2.144314,2.082131,1.661902,1.54859,3.081447
23.16265,0.009991698,1.158544,-0.04756715,-5.930292,-2.613831,2.140181,0.8088472,0.2192664,0.2902056,0.8868658
23.17738,0.01002079,1.158506,-0.04746316,-5.967382,-2.60614,2.122229,2.516956,0.5218742,1.217706,2.844333
23.1928,0.01003044,1.158506,-0.04735582,-5.966018,-2.604279,2.112836,0.08908686,0.1207622,0.60975,0.6279451
23.20707,0.01005239,1.158526,-0.04724356,-5.956518,-2.606049,2.08633,0.6647962,0.1239813,1.857582,1.97685
23.22372,0.01008386,1.158547,-0.04713806,-5.949459,-2.602844,2.077079,0.4235132,0.192506,0.5555174,0.7245837
23.23884,0.01011705,1.158551,-0.04704498,-5.950586,-2.591309,2.064859,0.07454591,0.7628658,0.8072654,1.113193
23.25149,0.01015302,1.158533,-0.04695844,-5.95157,-2.560944,2.048851,0.07781631,2.400845,1.266777,2.715665
23.26665,0.01021188,1.158481,-0.04696928,-5.94728,-2.544464,2.038063,0.2838807,1.087203,0.7127218,1.330628
23.28281,0.01027226,1.158458,-0.04697751,-5.910943,-2.526581,2.04352,2.248496,1.106313,0.3375959,2.528563
23.2964,0.01035333,1.158516,-0.04685554,-5.927779,-2.487518,2.067508,1.23919,2.875193,1.765653,3.59442
23.31854,0.01038096,1.158518,-0.04683369,-5.913442,-2.466248,2.087304,0.6476617,0.9604685,0.8938614,1.4632
23.3301,0.01041495,1.158501,-0.04681821,-5.927524,-2.433472,2.090606,1.218961,2.837048,0.2858263,3.101033
23.35318,0.0104501,1.158489,-0.04681537,-5.928897,-2.423615,2.085376,0.05946381,0.4269663,0.226041,0.4867553
23.3743,0.01052818,1.158628,-0.04682284,-5.838788,-2.401978,2.083901,4.266571,1.024381,0.06935164,4.38837
23.3912,0.01058804,1.158791,-0.04685738,-5.782687,-2.406097,2.1044,3.319562,0.2438198,1.213173,3.542701
23.40557,0.01063472,1.15888,-0.04693114,-5.770255,-2.394714,2.08547,0.8643483,0.7921423,1.316698,1.763031
23.42032,0.01068937,1.158885,-0.04700557,-5.792975,-2.40564,2.058066,1.540212,0.7406258,1.857771,2.5243
23.43874,0.01078607,1.158874,-0.04708472,-5.804959,-2.398712,2.034096,0.6506835,0.3761392,1.300746,1.502268
23.45482,0.01087531,1.158871,-0.04709804,-5.803493,-2.406281,2.022973,0.0910924,0.4706441,0.690784,0.8408247
23.46914,0.01097128,1.158924,-0.04708986,-5.776638,-2.375061,2.01577,1.875833,2.180655,0.5030642,2.920116
23.48469,0.01111649,1.159031,-0.04706857,-5.748968,-2.341919,2.007548,1.779304,2.130456,0.5277097,2.825463
23.4999,0.01127682,1.159075,-0.04711271,-5.696908,-2.300812,2.005772,3.423984,2.703462,0.1164074,4.364164
23.51585,0.01145548,1.159004,-0.04730215,-5.671009,-2.249969,2.000813,1.624297,3.187373,0.3099366,3.590787
23.53069,0.01163546,1.158951,-0.0474284,-5.66805,-2.216156,1.974384,0.1994602,2.27837,1.780748,2.898589
23.54689,0.0119405,1.159019,-0.0474019,-5.648717,-2.114136,1.941301,1.194395,6.297893,2.042152,6.727587
23.56522,0.01209976,1.159053,-0.04736214,-5.630961,-2.075897,1.931153,0.968789,2.085726,0.5543071,2.3656
23.58173,0.01226148,1.159116,-0.04728971,-5.622135,-2.031067,1.906563,0.5343194,2.71597,1.490178,3.143663
23.59595,0.01242656,1.159191,-0.04721885,-5.609401,-1.975586,1.891157,0.8947298,3.900764,1.083546,4.146152
23.61148,0.01259536,1.159273,-0.04712915,-5.605185,-1.935089,1.906447,0.2711532,2.607393,0.9844575,2.80021
23.62814,0.01271873,1.159361,-0.04696946,-5.604196,-1.903503,1.89498,0.05862819,1.896256,0.6888813,2.018361
23.6464,0.01298399,1.159474,-0.04669885,-5.631639,-1.810669,1.835367,1.502689,5.083238,3.263499,6.224773
23.66333,0.01317439,1.159505,-0.04653997,-5.58781,-1.772003,1.784473,2.588553,2.283912,3.00676,4.577932
23.67877,0.01335846,1.159594,-0.04634345,-5.581379,-1.697113,1.745169,0.4170991,4.851001,2.546083,5.494426
23.69464,0.01355487,1.159654,-0.04615206,-5.550587,-1.603027,1.687397,1.940618,5.929559,3.640822,7.223659
23.7103,0.01373299,1.159712,-0.0459758,-5.562091,-1.523132,1.712327,0.7345044,5.100828,1.591604,5.393621
23.72632,0.01388888,1.159744,-0.04581098,-5.551187,-1.468964,1.707005,0.680081,3.381355,0.331468,3.464959
23.74176,0.01419301,1.159784,-0.04556213,-5.516542,-1.324005,1.676944,2.24336,9.388512,1.946881,9.84719
23.76214,0.01434212,1.159777,-0.04547835,-5.476889,-1.24765,1.678672,1.945521,3.747262,0.08480179,4.223058
23.77725,0.01445425,1.159764,-0.04534677,-5.489996,-1.186584,1.670794,0.8672388,4.040384,0.520949,4.165116
23.79401,0.01453106,1.159748,-0.04521545,-5.492138,-1.122742,1.677404,0.1277879,3.80883,0.394309,3.831318
23.80915,0.01458313,1.15972,-0.04509031,-5.499148,-1.077026,1.687567,0.463201,3.020542,0.6715186,3.128764
23.82517,0.01461977,1.159725,-0.04496947,-5.513882,-1.006622,1.661399,0.9198023,4.395332,1.63277,4.778172
23.84021,0.01471192,1.159784,-0.04470459,-5.490689,-0.8762512,1.67715,1.541582,8.665315,1.046899,8.863417
23.86043,0.01467658,1.159845,-0.04460836,-5.499517,-0.8007813,1.670547,0.4365862,3.732478,0.326007,3.772039
23.87499,0.01459408,1.159917,-0.04453159,-5.477155,-0.7329102,1.644618,1.536486,4.661863,1.781737,5.22191
23.89144,0.01455151,1.160031,-0.04435094,-5.424943,-0.6274719,1.686121,3.175133,6.411505,2.523711,7.586699
23.90824,0.01452462,1.16008,-0.04428993,-5.450963,-0.5532532,1.68645,1.548762,4.417802,0.01955608,4.681455
23.92257,0.01448988,1.160107,-0.04424015,-5.452661,-0.498291,1.665362,0.1185279,3.835485,1.471583,4.109811
23.93898,0.01444284,1.160088,-0.04420568,-5.484107,-0.4326782,1.619818,1.916144,3.99814,2.774523,5.230174
23.95336,0.01436966,1.16004,-0.04416736,-5.521446,-0.3704834,1.65034,2.596042,4.324095,2.122074,5.471785
23.9682,0.01428244,1.159975,-0.04413678,-5.566337,-0.3338928,1.665919,3.023995,2.464859,1.049435,4.039974
23.98418,0.01413982,1.159797,-0.04418427,-5.604765,-0.2859802,1.653983,2.405959,2.999761,0.7470743,3.917311
23.99905,0.01396092,1.159598,-0.04426559,-5.606063,-0.23172,1.67753,0.08721154,3.64718,1.582772,3.976769
24.01536,0.01380255,1.159493,-0.04427221,-5.610348,-0.16922,1.67389,0.2627778,3.832515,0.2226901,3.847962
24.03188,0.01354899,1.159439,-0.04420745,-5.661518,-0.07653809,1.717311,3.098579,5.612381,2.629339,6.929173
24.04657,0.01334836,1.159397,-0.04418961,-5.661695,-0.03088379,1.742393,0.01207008,3.106554,1.706708,3.544528
24.06163,0.01313293,1.159334,-0.04416671,-5.680268,0.01017832,1.748775,1.233095,2.727112,0.4237369,3.022782
24.07717,0.01289919,1.159262,-0.04411972,-5.713761,0.03066517,1.731935,2.155924,1.318724,1.084346,2.750063
